school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,failures,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G2,G1,G3,G3_Prediction
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,0.0,mother,2.0,2.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6.0,5.0,6.0,6.03125
GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,0.0,father,1.0,2.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,5.96875
GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,3.0,mother,1.0,2.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,8.0,7.0,10.0,9.171875
GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,0.0,mother,1.0,3.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,14.0,15.0,15.0,14.7421875
GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,0.0,father,1.0,2.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,10.0,6.0,10.0,10.0
GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0,15.1171875
GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,0.0,mother,1.0,2.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0,11.4765625
GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,0.0,mother,2.0,2.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,5.0,6.0,6.0,6.046875
GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,18.0,16.0,19.0,18.578125
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,0.0,mother,1.0,2.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,15.0,14.0,15.0,15.3125
GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,0.0,mother,1.0,2.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,8.0,10.0,9.0,7.9609375
GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,0.0,father,3.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,12.0,10.0,12.0,11.9921875
GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,0.0,father,1.0,1.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0,14.0625
GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,0.0,mother,2.0,2.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0,10.703125
GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,0.0,other,1.0,3.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,16.0,14.0,16.0,16.015625
